SWIR PFM TEST   Pixel #1023
      Band #4         Band #5         Band #6         Band #7         Band #8         Band #9      
   Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm
    (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp
   4.4560 0.0000   4.6960 0.0000   4.8400 0.0000   4.6960 0.0000   4.7440 0.0000   4.7920 0.0000
   4.5040 0.0000   4.7440 0.0000   4.8880 0.0000   4.7440 0.0000   4.7920 0.0000   4.8400 0.0000
   4.5520 0.0000   4.7920 0.0000   4.9360 0.0000   4.7920 0.0000   4.8400 0.0000   4.8880 0.0000
   4.6000 0.0000   4.8400 0.0000   4.9840 0.0000   4.8400 0.0000   4.8880 0.0000   4.9360 0.0000
   4.6480 0.0000   4.8880 0.0000   5.0320 0.0000   4.8880 0.0000   4.9360 0.0000   4.9840 0.0000
   4.6960 0.0000   4.9360 0.0000   5.0800 0.0000   4.9360 0.0000   4.9840 0.0000   5.0320 0.0000
   4.7440 0.0000   4.9840 0.0000   5.1280 0.0000   4.9840 0.0000   5.0320 0.0000   5.0800 0.0000
   4.7920 0.0000   5.0320 0.0000   5.1760 0.0000   5.0320 0.0000   5.0800 0.0000   5.1280 0.0000
   4.8400 0.0000   5.0800 0.0000   5.2240 0.0000   5.0800 0.0000   5.1280 0.0000   5.1760 0.0000
   4.8880 0.0000   5.1280 0.0000   5.2720 0.0000   5.1280 0.0000   5.1760 0.0000   5.2240 0.0000
   4.9360 0.0000   5.1760 0.0000   5.3200 0.0000   5.1760 0.0000   5.2240 0.0000   5.2720 0.0000
   4.9840 0.0000   5.2240 0.0000   5.3680 0.0000   5.2240 0.0000   5.2720 0.0000   5.3200 0.0000
   5.0320 0.0000   5.2720 0.0000   5.4160 0.0000   5.2720 0.0000   5.3200 0.0000   5.3680 0.0000
   5.0800 0.0000   5.3200 0.0000   5.4640 0.0000   5.3200 0.0000   5.3680 0.0000   5.4160 0.0000
   5.1280 0.0000   5.3680 0.0000   5.5120 0.0000   5.3680 0.0000   5.4160 0.0000   5.4640 0.0000
   5.1760 0.0000   5.4160 0.0000   5.4160 0.0000   5.4640 0.0000   5.5120 0.0000   5.5000 0.0000
   5.2240 0.0000   5.4640 0.0000   5.4640 0.0000   5.5120 0.0000   5.5200 0.0000   5.5200 0.0000
   5.2720 0.0000   5.5120 0.0000   5.5120 0.0000   5.5300 0.0000   5.5300 0.0000   5.5300 0.0000
   5.3200 0.0000   5.5400 0.0000   5.5400 0.0000   5.5400 0.0000   5.5400 0.0000   5.5400 0.0000
   5.3680 0.0000   5.5500 0.0000   5.5500 0.0000   5.5500 0.0000   5.5500 0.0000   5.5500 0.0000
   5.4160 0.0000   5.5600 0.0000   5.5600 0.0000   5.5600 0.0000   5.5600 0.0000   5.5600 0.0000
   5.4640 0.0000   5.5700 0.0000   5.5700 0.0000   5.5700 0.0000   5.5700 0.0000   5.5700 0.0000
   5.5120 0.0000   5.5800 0.0000   5.5800 0.0000   5.5800 0.0000   5.5800 0.0000   5.5800 0.0000
