Wavelength [um],Blue,Green,Red,NIR,Pan
0.629,-8.90E-06,5.02E-05,0.400894019,1.36868E-05,0.400274375
0.63,6.62E-07,3.95E-05,0.39922909,3.17118E-06,0.397896433
0.631,1.05E-06,3.91E-05,0.397494347,1.97153E-06,0.395631836
0.632,8.73E-06,3.15E-05,0.395355298,1.8863E-06,0.39336879
0.633,1.08E-05,4.78E-05,0.39325737,4.74705E-06,0.391569147
0.634,4.00E-06,3.98E-05,0.39123126,5.33167E-06,0.390007599
0.635,5.96E-06,3.98E-05,0.389742034,2.41481E-06,0.38874293
0.636,7.34E-06,5.27E-05,0.389053121,5.92959E-06,0.387976817
0.637,4.34E-06,4.94E-05,0.387758628,1.19177E-05,0.386621387
0.638,1.11055E-05,5.36213E-05,0.387574135,6.4712E-06,0.386525988
0.639,-5.7161E-06,7.59312E-05,0.386852173,1.4787E-05,0.386051588
0.64,8.48561E-06,7.90504E-05,0.386387532,8.67318E-06,0.385942933
0.641,4.05038E-06,0.000101393,0.386116569,1.27365E-05,0.385932988
0.642,-7.4998E-06,0.000110305,0.38623129,4.13701E-06,0.386044893
0.643,7.05E-06,0.000134852,0.387036966,7.61624E-07,0.386579729
0.644,-1.38E-06,0.000150635,0.387179675,2.64954E-05,0.38647627
0.645,2.66E-06,0.000193204,0.388104674,8.44158E-06,0.387226932
0.646,7.72E-06,0.000238126,0.388521063,-7.70346E-06,0.387760767
0.647,6.41E-06,0.000269737,0.388550464,4.65E-06,0.388040271
0.648,6.10E-06,0.000310247,0.387799329,-2.06E-06,0.387553546
0.649,-3.02E-07,0.000332315,0.387788035,7.41E-06,0.387692325
0.65,-4.92E-06,0.000336817,0.388265607,1.01E-05,0.388069548
0.651,6.01E-06,0.000360997,0.387851706,-1.05E-05,0.387589189
0.652,8.97E-06,0.000360132,0.387434003,4.69E-06,0.387201446
0.653,1.96E-05,0.000353994,0.387387144,-2.78E-06,0.387314708
0.654,-2.03E-06,0.000338719,0.386439572,1.45E-05,0.38659853
0.655,5.72E-06,0.000302051,0.385854275,2.06E-05,0.386068649
0.656,3.23E-06,2.83E-04,0.385544778,-4.71E-06,0.385394764
0.657,-9.95E-06,2.36E-04,0.385391413,1.12E-06,0.384792368
0.658,6.64E-06,2.01E-04,0.38600425,8.84E-06,0.384877384
0.659,7.47E-06,1.97E-04,0.386730334,1.10E-05,0.385302892
0.66,-1.03E-06,1.63E-04,0.386600221,1.37E-05,0.385312713
0.661,9.47E-06,1.54E-04,0.385784924,1.57E-05,0.38511752
0.662,8.13E-06,1.36E-04,0.385235037,8.40E-06,0.385103119
0.663,5.61E-06,1.12E-04,0.384980336,-1.76E-06,0.385342267
0.664,5.70E-06,1.01E-04,0.384540699,3.95E-06,0.385102408
0.665,3.41E-06,8.13E-05,0.384410111,2.20E-06,0.384987021
0.666,-3.96508E-06,7.63E-05,0.384090629,2.37E-06,0.38467873
0.667,3.52488E-07,7.55E-05,0.383524154,1.74E-06,0.38415794
0.668,6.85406E-06,5.67E-05,0.382395975,8.33E-06,0.383182827
0.669,3.55261E-06,6.06E-05,0.381312508,5.74E-06,0.382090994
0.67,1.61941E-05,5.35E-05,0.380529981,5.75E-06,0.381023719
0.671,5.34514E-05,4.05E-05,0.379911484,8.93E-06,0.379840879
0.672,8.07796E-05,4.83E-05,0.379658515,1.61E-05,0.378871217
0.673,0.000138832,4.81E-05,0.378638805,2.11E-05,0.377365488
0.674,0.000184543,3.59E-05,0.37793561,1.07E-05,0.376664649
0.675,0.000186129,3.07E-05,0.376059875,8.56E-06,0.375378849
0.676,0.00019723,2.63909E-05,0.374273774,-1.13E-07,0.374381813
0.677,0.000170039,2.85753E-05,0.372837884,-8.39E-07,0.373648889
0.678,0.000169659,2.97041E-05,0.37065015,1.06E-05,0.372086679
0.679,0.000240831,3.50814E-05,0.367925242,1.59E-05,0.3706288
0.68,0.000300332,3.19257E-05,0.363275978,2.00E-05,0.369155868
0.681,0.000238488,2.88658E-05,0.354549027,2.16E-05,0.367474829
0.682,0.000121623,3.89649E-05,0.340220449,2.19E-05,0.365616627
0.683,6.31991E-05,3.30626E-05,0.320309286,2.89E-05,0.364136695
0.684,3.9802E-05,2.85124E-05,0.295835471,2.35E-05,0.362849531
0.685,1.1987E-05,3.13487E-05,0.268227826,3.16E-05,0.361112352
0.686,1.90599E-05,2.32407E-05,0.239543837,2.52E-05,0.359249557
0.687,2.09553E-05,3.72055E-05,0.209566411,3.06E-05,0.357604241
0.688,6.77283E-07,4.68242E-05,0.177602899,4.20E-05,0.356089507
0.689,7.84284E-06,5.03522E-05,0.143932667,3.37E-05,0.355246761
0.69,8.83775E-06,6.33479E-05,0.109962619,3.52E-05,0.354033284
0.691,2.96778E-06,5.43021E-05,0.079183894,2.96E-05,0.352759984
0.692,1.09728E-05,5.92229E-05,0.054378179,2.00E-05,0.352181795
