Wavelength [um],Blue,Green,Red,Red Edge,NIR
0.48350001,0.851888515,4.66E-05,8.07E-06,8.39E-06,0.000178479
0.48400001,0.854560019,5.86E-05,8.71E-06,7.82E-06,0.000159872
0.48450001,0.858403874,7.72E-05,5.09E-05,7.01E-06,0.000137049
0.48500001,0.862385431,9.78E-05,9.36E-05,6.21E-06,0.000114485
0.48550001,0.86597051,0.00012391,0.001278667,5.95E-06,9.88E-05
0.48600001,0.869397927,0.000163908,0.002320058,5.78E-06,8.50E-05
0.48650001,0.872148692,0.000283783,0.001313187,5.68E-06,7.75E-05
0.48700001,0.874698499,0.000310309,0.00013606,5.63E-06,7.17E-05
0.48750001,0.876570073,0.000618068,1.58E-05,5.79E-06,7.03E-05
0.48800001,0.878307155,0.000927749,5.91E-05,6.12E-06,7.03E-05
0.48850001,0.879731046,0.014567693,6.52E-05,7.31E-06,7.43E-05
0.48900001,0.881230174,0.026567256,7.87E-05,8.63E-06,7.98E-05
0.48950001,0.883196992,0.015225263,0.000180192,1.00E-05,8.99E-05
0.49000001,0.885578451,0.00193389,0.00026933,1.96E-05,0.000101441
0.49050001,0.88929541,0.000276071,0.000183435,8.14E-05,0.000117118
0.49100001,0.893554744,0.00043609,7.96E-05,0.000150136,0.000133235
0.49150001,0.899063176,0.000341225,4.71E-05,0.000205317,0.000146797
0.49200001,0.904839273,0.000213674,2.80E-05,0.000238065,0.000158039
0.49250001,0.910697963,0.000170934,2.20E-05,0.000137788,0.000156111
0.49300001,0.916360989,0.00014341,1.83E-05,2.95E-05,0.00015053
0.49350001,0.92052484,0.00012731,1.65E-05,1.47E-05,0.00013539
0.49400001,0.924217503,0.000113815,1.49E-05,1.47E-05,0.000118628
0.49450001,0.92639817,0.000106117,1.36E-05,1.32E-05,0.000102578
0.49500001,0.928268019,9.96E-05,1.25E-05,1.19E-05,8.71E-05
0.49550001,0.929761157,9.54E-05,1.21E-05,1.26E-05,7.60E-05
0.49600001,0.931282185,9.16E-05,1.19E-05,1.33E-05,6.60E-05
0.49650001,0.933473994,8.94E-05,1.30E-05,1.17E-05,5.96E-05
0.49700001,0.936127743,8.75E-05,1.48E-05,2.02E-05,5.42E-05
0.49750001,0.941149747,8.69E-05,1.97E-05,9.40E-05,5.19E-05
0.49800001,0.946726731,8.66E-05,2.66E-05,4.61E-05,5.04E-05
0.49850001,0.95349291,8.76E-05,4.35E-05,0.000135789,5.15E-05
0.49900001,0.960167583,8.90E-05,7.71E-05,0.000227203,5.36E-05
0.49950001,0.965200275,9.12E-05,0.000205616,0.014437739,5.93E-05
0.50000001,0.969344334,9.38E-05,0.000342925,0.027067995,6.67E-05
0.50050001,0.970062006,9.80E-05,0.000427568,0.014748031,8.09E-05
0.50100001,0.969913952,0.000102761,0.000524069,0.000302245,9.89E-05
0.50150001,0.968414417,0.000109502,0.000744094,0.00020749,0.000133073
