Wavelength [um],Blue,Green,Red,NIR,Pan
0.589,0.0005,0.8694,0.0027,0.0,0.9851
0.59,0.0005,0.7819,0.0036,0.0,0.985
0.591,0.0005,0.694,0.005,0.0,0.9837
0.592,0.0005,0.6143,0.0072,0.0,0.9832
0.593,0.0005,0.5221,0.0106,0.0,0.9828
0.594,0.0006,0.4077,0.0161,0.0,0.9827
0.595,0.0006,0.3036,0.0251,0.0,0.9826
0.596,0.0006,0.2363,0.0404,0.0,0.9833
0.597,0.0005,0.1989,0.066,0.0,0.9843
0.598,0.0004,0.1723,0.1071,0.0001,0.9856
0.599,0.0004,0.138,0.1676,0.0001,0.988
0.6,0.0005,0.093,0.2453,0.0,0.9896
0.601,0.0003,0.0529,0.3327,0.0001,0.9921
0.602,0.0003,0.0277,0.4215,0.0001,0.994
0.603,0.0002,0.0146,0.5116,0.0001,0.9961
0.604,0.0002,0.0082,0.6104,0.0001,0.9976
0.605,0.0003,0.005,0.7204,0.0001,0.9984
0.606,0.0005,0.0033,0.8314,0.0001,0.9993
0.607,0.0007,0.0023,0.921,0.0001,0.9994
0.608,0.0006,0.0017,0.9705,0.0001,0.9994
0.609,0.0003,0.0013,0.9864,0.0001,0.9994
0.61,0.0002,0.001,0.991,0.0001,1.0
0.611,0.0001,0.0009,0.9929,0.0001,0.9986
0.612,0.0001,0.0007,0.9965,0.0001,0.9974
0.613,0.0001,0.0006,0.9993,0.0,0.9962
0.614,0.0001,0.0006,1.0,0.0,0.9952
0.615,0.0001,0.0006,0.9988,0.0001,0.9942
0.616,0.0001,0.0005,0.9959,0.0001,0.9927
0.617,0.0001,0.0005,0.9925,0.0,0.9909
0.618,0.0001,0.0005,0.9904,0.0001,0.9894
0.619,0.0001,0.0005,0.9886,0.0001,0.9873
0.62,0.0001,0.0005,0.9868,0.0001,0.9853
0.621,0.0,0.0004,0.9859,0.0001,0.9844
0.622,0.0,0.0004,0.9839,0.0001,0.983
0.623,0.0,0.0003,0.9829,0.0001,0.9828
0.624,0.0,0.0003,0.9817,0.0001,0.9814
0.625,0.0,0.0003,0.9821,0.0001,0.9809
0.626,0.0,0.0002,0.9823,0.0001,0.9795
